form,tag,count
달콤하,VA,82
대,VV,82
고이,VV,82
에,JKG,81
끝없이,MAG,81
훗날,NNG,81
다리,NNG,81
자존심,NNG,81
선택,NNG,81
구나,EC,80
세,MM,80
리,NNB,80
아가씨,NNG,80
잎,NNG,80
아,NNG,80
눈길,NNG,80
마음속,NNG,80
it,SL,80
dance,SL,80
shake,SL,80
da,SL,80
fire,SL,80
밝히,VV,80
서두르,VV,80
는다,EF,79
손길,NNG,79
노력,NNG,79
도시,NNG,79
이,NP,79
some,SL,79
yes,SL,79
two,SL,79
무섭,VA,79
춥,VA,79
녹,VV,79
ᆯ께요,EF,78
온통,MAG,78
첫사랑,NNG,78
탓,NNG,78
환상,NNG,78
한참,NNG,78
by,SL,78
look,SL,78
눕,VV,78
가르치,VV,78
ᆷ,EC,77
신,NNG,77
젊음,NNG,77
랄랄라,NNP,77
ding,SL,77
건너,VV,77
드리,VV,77
지나치,VV,77
나타나,VV,77
더니,EC,76
너머,NNG,76
리듬,NNG,76
부담,NNG,76
말투,NNG,76
goodbye,SL,76
r,SL,76
call,SL,76
귀엽,VA,76
조그맣,VA,76
빠르,VA,76
다치,VV,76
맺히,VV,76
차리,VV,76
들려오,VV,76
ᆷ,EF,75
저기,IC,75
그러나,MAJ,75
연기,NNG,75
매일,NNG,75
take,SL,75
much,SL,75
goodbye,SL,75
heart,SL,75
sexy,SL,75
care,SL,75
du,SL,75
커다랗,VA,75
쿵,MAG,74
딴,MM,74
우산,NNG,74
소식,NNG,74
답,NNG,74
낮,NNG,74
숨결,NNG,74
y,SL,74
show,SL,74
am,SL,74
give,SL,74
whoo,SL,74
흔하,VA,74
새,VV,74
닦,VV,74
열리,VV,74
든,JX,73
대체,MAG,73
담배,NNG,73
little,SL,73
lady,SL,73
when,SL,73
식,VV,73
올리,VV,73
않,VV,73
답답,XR,73
에요,EF,72
강물,NNG,72
누나,NNG,72
얼마,NNG,72
alright,SL,72
bam,SL,72
붉,VA,72
지겹,VA,72
묻히,VV,72
건네,VV,72
으면서,EC,71
진정,MAG,71
발길,NNG,71
바닷가,NNG,71
감사,NNG,71
girls,SL,71
품,VV,71
아파하,VV,71
하,IC,70
이토록,MAG,70
절대로,MAG,70
다정,NNG,70
파,NNG,70
예감,NNG,70
존재,NNG,70
완벽,NNG,70
miss,SL,70
who,SL,70
물들,VV,70
털,VV,70
ᆸ니다,EC,69
으려고,EC,69
께,JKB,69
어쩜,MAG,69
부디,MAG,69
라라라라,NNP,69
라,NNP,69
cool,SL,69
d,SL,69
party,SL,69
kiss,SL,69
부드럽,VA,69
이쁘,VA,69
상관없,VA,69
살아오,VV,69
따,VV,69
끄,VV,69
퍼지,VV,69
길래,EC,68
을지,EC,68
대,EF,68
아하,IC,68
그림,NNG,68
과거,NNG,68
우,NNG,68
팔,NNG,68
잠시,NNG,68
10,SN,68
가볍,VA,68
흐리,VA,68
씻,VV,68
타오르,VV,68
거나,EC,67
을래,EF,67
어쩌다,MAG,67
갑자기,MAG,67
시,NNB,67
가지,NNB,67
청춘,NNG,67
밑,NNG,67
믿음,NNG,67
우연,NNG,67
허락,NNG,67
사랑해,NNP,67
or,SL,67
bring,SL,67
back,SL,67
ye,SL,67
du,SL,67
서글프,VA,67
애타,VV,67
헤매이,VV,67
끊,VV,67
그치,VV,67
자,EF,66
뜻,NNG,66
무릎,NNG,66
실수,NNG,66
pretty,SL,66
bang,SL,66
희,VA,66
접,VV,66
싸우,VV,66
가두,VV,66
가득히,MAG,65
good,SL,65
가깝,VA,65
뻔하,VA,65
반기,VV,65
돌이키,VV,65
담기,VV,65
바뀌,VV,65
웃기,VV,65
따스,XR,65
끼리,XSN,65
살짝,MAG,64
제일,MAG,64
잠깐,MAG,64
죄,NNG,64
주,NNG,64
동네,NNG,64
꿈속,NNG,64
시계,NNG,64
자기,NP,64
bounce,SL,64
rollin,SL,64
