word,type,count,language
빨갛다,Adjective,148,kr
여전하다,Adjective,148,kr
way,Eng,148,en
보지,Noun,148,kr
빈,Noun,148,kr
우릴,Noun,148,kr
높다,Adjective,147,kr
며,Josa,147,kr
높이,Noun,147,kr
만남,Noun,147,kr
왠지,Adverb,146,kr
how,Eng,146,en
영원,Noun,146,kr
이루다,Verb,146,kr
뿐이다,Adjective,145,kr
have,Eng,145,en
lie,Eng,145,en
miss,Eng,145,en
토록,Josa,145,kr
마주치다,Verb,145,kr
크게,Noun,144,kr
남겨지다,Verb,144,kr
길다,Adjective,143,kr
touch,Eng,143,en
nobody,Eng,143,en
보이,Noun,143,kr
넘다,Verb,143,kr
고프다,Adjective,142,kr
오래,Adverb,142,kr
think,Eng,142,en
du,Eng,142,en
철,Noun,142,kr
마음속,Noun,142,kr
keep,Eng,141,en
피,Noun,141,kr
다가,Noun,141,kr
영화,Noun,141,kr
망설이다,Verb,141,kr
초라하다,Adjective,140,kr
힘겹다,Adjective,140,kr
우연히,Adverb,140,kr
겁,Noun,140,kr
o,Eng,139,en
놀다,Verb,139,kr
즐겁다,Adjective,138,kr
babe,Eng,138,en
shake,Eng,137,en
huh,Eng,137,en
여인,Noun,137,kr
종일,Noun,137,kr
걸어가다,Verb,137,kr
가버리다,Verb,137,kr
소리치다,Verb,137,kr
놓치다,Verb,137,kr
새,Modifier,136,kr
달빛,Noun,136,kr
차,Noun,136,kr
here,Eng,135,en
지,Modifier,135,kr
일이,Modifier,135,kr
깊이,Noun,135,kr
보이지,Noun,135,kr
기대다,Verb,135,kr
나서다,Verb,135,kr
커지다,Verb,135,kr
어색하다,Adjective,134,kr
부족하다,Adjective,134,kr
그림자,Noun,134,kr
낙엽,Noun,134,kr
please,Eng,133,en
불빛,Noun,133,kr
오오오,Noun,133,kr
막다,Verb,133,kr
가보다,Verb,133,kr
again,Eng,132,en
제일,Noun,132,kr
물,Noun,132,kr
더욱,Noun,132,kr
상상,Noun,132,kr
일어나다,Verb,132,kr
조용하다,Adjective,131,kr
예요,Josa,131,kr
마주,Noun,131,kr
저기,Noun,131,kr
사진,Noun,131,kr
자,Suffix,131,kr
잊어버리다,Verb,131,kr
rock,Eng,130,en
sexy,Eng,130,en
run,Eng,130,en
랄,Noun,130,kr
깨다,Verb,130,kr
속삭이다,Verb,130,kr
뻔하다,Adjective,129,kr
mine,Eng,129,en
gotta,Eng,129,en
fall,Eng,129,en
년,Noun,129,kr
때론,Noun,129,kr
two,Eng,128,en
어,Noun,128,kr
도대체,Noun,128,kr
춤추다,Verb,128,kr
다가가다,Verb,128,kr
노랗다,Adjective,127,kr
야,Exclamation,127,kr
가야,Noun,127,kr
새다,Verb,127,kr
달라지다,Verb,127,kr
솔직하다,Adjective,126,kr
어딜,Adverb,126,kr
cause,Eng,126,en
